------------------------
picolo startup completed
------------------------
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
last addr:0 data:0
